Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
n2;knapsacksa.cpp;13;4.857028245925903;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.529688596725464;0-9;LSB bit-flip;1
i;knapsacksa.cpp;57;7.991129636764526;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.502987861633301;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;0.7804641723632812;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;5.302544832229614;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.267505407333374;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.98234486579895;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;4.663184881210327;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;6.609050989151001;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;5.1142578125;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;1.6081092357635498;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.378910541534424;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.374650955200195;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.2611725330352783;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.623627185821533;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;2.8909265995025635;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;3.8877947330474854;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.107734441757202;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;5.907888889312744;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;6.33857274055481;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;8.465245723724365;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;1.525273084640503;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;1.994868516921997;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.2952420711517334;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;5.508602619171143;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;3.0273470878601074;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;4.141778469085693;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;6.455593824386597;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.1388678550720215;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.528491735458374;0-9;LSB bit-flip;1
